,Name,Category
0,UPL,Agro Chemicals companies
1,P I Industries,Agro Chemicals companies
2,Bayer Crop Sci.,Agro Chemicals companies
3,Sumitomo Chemi.,Agro Chemicals companies
4,Rallis India,Agro Chemicals companies
5,Bharat Rasayan,Agro Chemicals companies
6,India Pesticides,Agro Chemicals companies
7,Dhanuka Agritech,Agro Chemicals companies
8,Paushak,Agro Chemicals companies
9,Sharda Cropchem,Agro Chemicals companies
10,Meghmani Organi.,Agro Chemicals companies
11,Heranba Inds,Agro Chemicals companies
12,Best Agrolife,Agro Chemicals companies
13,Astec Lifescienc,Agro Chemicals companies
14,NACL Industries,Agro Chemicals companies
15,Insecticid.India,Agro Chemicals companies
16,Shivalik Rasayan,Agro Chemicals companies
17,Bhagiradha Chem.,Agro Chemicals companies
18,Kilpest India,Agro Chemicals companies
19,Aimco Pesticides,Agro Chemicals companies
20,Sikko Industries,Agro Chemicals companies
21,Super Crop Safe,Agro Chemicals companies
22,Bhaskar Agrochem,Agro Chemicals companies
23,Phyto Chem (I),Agro Chemicals companies
24,UPL,Agro Chemicals companies
25,P I Industries,Agro Chemicals companies
26,Bayer Crop Sci.,Agro Chemicals companies
27,Sumitomo Chemi.,Agro Chemicals companies
28,Rallis India,Agro Chemicals companies
29,Bharat Rasayan,Agro Chemicals companies
30,India Pesticides,Agro Chemicals companies
31,Dhanuka Agritech,Agro Chemicals companies
32,Paushak,Agro Chemicals companies
33,Sharda Cropchem,Agro Chemicals companies
34,Meghmani Organi.,Agro Chemicals companies
35,Heranba Inds,Agro Chemicals companies
36,Best Agrolife,Agro Chemicals companies
37,Astec Lifescienc,Agro Chemicals companies
38,NACL Industries,Agro Chemicals companies
39,Insecticid.India,Agro Chemicals companies
40,Shivalik Rasayan,Agro Chemicals companies
41,Bhagiradha Chem.,Agro Chemicals companies
42,Kilpest India,Agro Chemicals companies
43,Aimco Pesticides,Agro Chemicals companies
44,Sikko Industries,Agro Chemicals companies
45,Super Crop Safe,Agro Chemicals companies
46,Bhaskar Agrochem,Agro Chemicals companies
47,Phyto Chem (I),Agro Chemicals companies
48,Interglobe Aviat,Air Transport Service companies
49,SpiceJet,Air Transport Service companies
50,Jet Airways,Air Transport Service companies
51,TAAL Enterprises,Air Transport Service companies
52,Global Vectra,Air Transport Service companies
53,Jet Freight,Air Transport Service companies
54,MFL India,Air Transport Service companies
55,Interglobe Aviat,Air Transport Service companies
56,SpiceJet,Air Transport Service companies
57,Jet Airways,Air Transport Service companies
58,TAAL Enterprises,Air Transport Service companies
59,Global Vectra,Air Transport Service companies
60,Jet Freight,Air Transport Service companies
61,MFL India,Air Transport Service companies
62,United Spirits,Alcoholic Beverages companies
63,United Breweries,Alcoholic Beverages companies
64,Radico Khaitan,Alcoholic Beverages companies
65,Globus Spirits,Alcoholic Beverages companies
66,G M Breweries,Alcoholic Beverages companies
67,Tilaknagar Inds.,Alcoholic Beverages companies
68,Assoc.Alcohols,Alcoholic Beverages companies
69,IFB Agro Inds.,Alcoholic Beverages companies
70,Jagatjit Inds.,Alcoholic Beverages companies
71,Som Distilleries,Alcoholic Beverages companies
72,Khoday India,Alcoholic Beverages companies
73,Pioneer Distil.,Alcoholic Beverages companies
74,Piccadily Agro,Alcoholic Beverages companies
75,Comfort Intech,Alcoholic Beverages companies
76,Aurangabad Dist.,Alcoholic Beverages companies
77,Winsome Brew.,Alcoholic Beverages companies
78,Piccadily Sugar,Alcoholic Beverages companies
79,Ravikumar Distll,Alcoholic Beverages companies
80,Silver Oak (I),Alcoholic Beverages companies
81,United Spirits,Alcoholic Beverages companies
82,United Breweries,Alcoholic Beverages companies
83,Radico Khaitan,Alcoholic Beverages companies
84,Globus Spirits,Alcoholic Beverages companies
85,G M Breweries,Alcoholic Beverages companies
86,Tilaknagar Inds.,Alcoholic Beverages companies
87,Assoc.Alcohols,Alcoholic Beverages companies
88,IFB Agro Inds.,Alcoholic Beverages companies
89,Jagatjit Inds.,Alcoholic Beverages companies
90,Som Distilleries,Alcoholic Beverages companies
91,Khoday India,Alcoholic Beverages companies
92,Pioneer Distil.,Alcoholic Beverages companies
93,Piccadily Agro,Alcoholic Beverages companies
94,Comfort Intech,Alcoholic Beverages companies
95,Aurangabad Dist.,Alcoholic Beverages companies
96,Winsome Brew.,Alcoholic Beverages companies
97,Piccadily Sugar,Alcoholic Beverages companies
98,Ravikumar Distll,Alcoholic Beverages companies
99,Silver Oak (I),Alcoholic Beverages companies
100,Motherson Sumi,Auto Ancillaries companies
101,Bosch,Auto Ancillaries companies
102,Minda Industries,Auto Ancillaries companies
103,Endurance Tech.,Auto Ancillaries companies
104,Timken India,Auto Ancillaries companies
105,WABCO India,Auto Ancillaries companies
106,Exide Inds.,Auto Ancillaries companies
107,Amara Raja Batt.,Auto Ancillaries companies
108,Sundaram Clayton,Auto Ancillaries companies
109,Suprajit Engg.,Auto Ancillaries companies
110,Craftsman Auto,Auto Ancillaries companies
111,Varroc Engineer,Auto Ancillaries companies
112,JBM Auto,Auto Ancillaries companies
113,Sansera Enginee.,Auto Ancillaries companies
114,Jamna Auto Inds.,Auto Ancillaries companies
115,Minda Corp,Auto Ancillaries companies
116,Rolex Rings,Auto Ancillaries companies
117,Steel Str. Wheel,Auto Ancillaries companies
118,Sharda Motor,Auto Ancillaries companies
119,Subros,Auto Ancillaries companies
120,JTEKT India,Auto Ancillaries companies
121,Gabriel India,Auto Ancillaries companies
122,Automotive Axles,Auto Ancillaries companies
123,Shriram Pistons,Auto Ancillaries companies
124,Igarashi Motors,Auto Ancillaries companies
125,NRB Bearings,Auto Ancillaries companies
126,Fiem Industries,Auto Ancillaries companies
127,Wheels India,Auto Ancillaries companies
128,GNA Axles,Auto Ancillaries companies
129,L G Balakrishnan,Auto Ancillaries companies
130,Sandhar Tech,Auto Ancillaries companies
131,Pricol Ltd,Auto Ancillaries companies
132,Precision Camshf,Auto Ancillaries companies
133,Federal-Mogul Go,Auto Ancillaries companies
134,SJS Enterprises,Auto Ancillaries companies
135,Alicon Cast.,Auto Ancillaries companies
136,Lumax Industries,Auto Ancillaries companies
137,Banco Products,Auto Ancillaries companies
138,Shanthi Gears,Auto Ancillaries companies
139,Lumax Auto Tech.,Auto Ancillaries companies
140,India Motor Part,Auto Ancillaries companies
141,India Nipp.Elec.,Auto Ancillaries companies
142,Jay Bharat Maru.,Auto Ancillaries companies
143,Enkei Wheels,Auto Ancillaries companies
144,Auto.Corp.of Goa,Auto Ancillaries companies
145,RACL Geartech,Auto Ancillaries companies
146,Rane Brake Lin.,Auto Ancillaries companies
147,Rico Auto Inds,Auto Ancillaries companies
148,IST,Auto Ancillaries companies
149,Rane (Madras),Auto Ancillaries companies
150,Munjal Auto Inds,Auto Ancillaries companies
151,Munjal Showa,Auto Ancillaries companies
152,Menon Bearings,Auto Ancillaries companies
153,Hind.Composites,Auto Ancillaries companies
154,Talbros Auto.,Auto Ancillaries companies
155,The Hi-Tech Gear,Auto Ancillaries companies
156,Z F Steering,Auto Ancillaries companies
157,Automotive Stamp,Auto Ancillaries companies
158,PPAP Automotive,Auto Ancillaries companies
159,Ucal Fuel Sys.,Auto Ancillaries companies
160,Shivam Autotech,Auto Ancillaries companies
161,Bharat Seats,Auto Ancillaries companies
162,Autoline Industr,Auto Ancillaries companies
163,Setco Automotive,Auto Ancillaries companies
164,Menon Pistons,Auto Ancillaries companies
165,Sintercom India,Auto Ancillaries companies
166,Sar Auto Prod.,Auto Ancillaries companies
167,NDR Auto Compon.,Auto Ancillaries companies
168,Jay Ushin,Auto Ancillaries companies
169,Rane Engine Val.,Auto Ancillaries companies
170,Bharat Gears,Auto Ancillaries companies
171,Pritika Auto,Auto Ancillaries companies
172,Samkrg Pistons,Auto Ancillaries companies
173,Jullundur Motor,Auto Ancillaries companies
174,JMT Auto,Auto Ancillaries companies
175,IP Rings,Auto Ancillaries companies
176,Triton Valves,Auto Ancillaries companies
177,Talbros Engg.,Auto Ancillaries companies
178,Sundaram Brake,Auto Ancillaries companies
179,Remsons Ind,Auto Ancillaries companies
180,Galaxy Bearings,Auto Ancillaries companies
181,Kinetic Engg.,Auto Ancillaries companies
182,Frontier Springs,Auto Ancillaries companies
183,Omax Autos,Auto Ancillaries companies
184,Him Teknoforg.,Auto Ancillaries companies
185,SNL Bearings,Auto Ancillaries companies
186,Auto Pins (I),Auto Ancillaries companies
187,Duncan Engg.,Auto Ancillaries companies
188,Uravi T & Wedge,Auto Ancillaries companies
189,Rasandik Engg.,Auto Ancillaries companies
190,Jagan Lamps,Auto Ancillaries companies
191,SAL Automotive,Auto Ancillaries companies
192,Hindustan Hardy,Auto Ancillaries companies
193,ASL Industries,Auto Ancillaries companies
194,SM Auto Stamping,Auto Ancillaries companies
195,Austin Engg Co,Auto Ancillaries companies
196,Atam Valves,Auto Ancillaries companies
197,G S Auto Intl.,Auto Ancillaries companies
198,Benara Bearings,Auto Ancillaries companies
199,Sibar Auto Parts,Auto Ancillaries companies
200,Jainex Aamcol,Auto Ancillaries companies
201,PAE,Auto Ancillaries companies
202,Spectra Industri,Auto Ancillaries companies
203,Mipco Seaml Ring,Auto Ancillaries companies
204,Gajra Bevel,Auto Ancillaries companies
205,Deccan Bearings,Auto Ancillaries companies
206,Coventry Coil.,Auto Ancillaries companies
207,India Radiators,Auto Ancillaries companies
208,Jainex Aamcol,Auto Ancillaries companies
209,PAE,Auto Ancillaries companies
210,Spectra Industri,Auto Ancillaries companies
211,Mipco Seaml Ring,Auto Ancillaries companies
212,Gajra Bevel,Auto Ancillaries companies
213,Deccan Bearings,Auto Ancillaries companies
214,Coventry Coil.,Auto Ancillaries companies
215,India Radiators,Auto Ancillaries companies
216,Maruti Suzuki,Automobile companies
217,Tata Motors,Automobile companies
218,M & M,Automobile companies
219,Bajaj Auto,Automobile companies
220,Eicher Motors,Automobile companies
221,Hero Motocorp,Automobile companies
222,Ashok Leyland,Automobile companies
223,TVS Motor Co.,Automobile companies
224,Escorts,Automobile companies
225,Tata Motors-DVR,Automobile companies
226,Olectra Greentec,Automobile companies
227,VST Till. Tract.,Automobile companies
228,Force Motors,Automobile companies
229,SML ISUZU,Automobile companies
230,Atul Auto,Automobile companies
231,Scooters India,Automobile companies
232,Hindustan Motors,Automobile companies
233,Maruti Suzuki,Automobile companies
234,Tata Motors,Automobile companies
235,M & M,Automobile companies
236,Bajaj Auto,Automobile companies
237,Eicher Motors,Automobile companies
238,Hero Motocorp,Automobile companies
239,Ashok Leyland,Automobile companies
240,TVS Motor Co.,Automobile companies
241,Escorts,Automobile companies
242,Tata Motors-DVR,Automobile companies
243,Olectra Greentec,Automobile companies
244,VST Till. Tract.,Automobile companies
245,Force Motors,Automobile companies
246,SML ISUZU,Automobile companies
247,Atul Auto,Automobile companies
248,Scooters India,Automobile companies
249,Hindustan Motors,Automobile companies
250,HDFC Bank,Banks companies
251,ICICI Bank,Banks companies
252,St Bk of India,Banks companies
253,Kotak Mah. Bank,Banks companies
254,Axis Bank,Banks companies
255,IndusInd Bank,Banks companies
256,IDBI Bank,Banks companies
257,Bank of Baroda,Banks companies
258,Bandhan Bank,Banks companies
259,Punjab Natl.Bank,Banks companies
260,I O B,Banks companies
261,Canara Bank,Banks companies
262,AU Small Finance,Banks companies
263,Union Bank (I),Banks companies
264,Yes Bank,Banks companies
265,IDFC First Bank,Banks companies
266,Bank of India,Banks companies
267,Central Bank,Banks companies
268,Federal Bank,Banks companies
269,Indian Bank,Banks companies
270,UCO Bank,Banks companies
271,Bank of Maha,Banks companies
272,RBL Bank,Banks companies
273,City Union Bank,Banks companies
274,Equitas Sma. Fin,Banks companies
275,Pun. & Sind Bank,Banks companies
276,CSB Bank,Banks companies
277,Karur Vysya Bank,Banks companies
278,Fino Payments,Banks companies
279,J & K Bank,Banks companies
280,Ujjivan Small,Banks companies
281,DCB Bank,Banks companies
282,Karnataka Bank,Banks companies
283,South Ind.Bank,Banks companies
284,Suryoday Small,Banks companies
285,Dhanlaxmi Bank,Banks companies
286,Pun. & Sind Bank,Banks companies
287,CSB Bank,Banks companies
288,Karur Vysya Bank,Banks companies
289,Fino Payments,Banks companies
290,J & K Bank,Banks companies
291,Ujjivan Small,Banks companies
292,DCB Bank,Banks companies
293,Karnataka Bank,Banks companies
294,South Ind.Bank,Banks companies
295,Suryoday Small,Banks companies
296,Dhanlaxmi Bank,Banks companies
297,Polycab India,Cables companies
298,Sterlite Tech.,Cables companies
299,KEI Industries,Cables companies
300,Finolex Cables,Cables companies
301,Vindhya Telelink,Cables companies
302,Hind.Urban Infra,Cables companies
303,Universal Cables,Cables companies
304,Birla Cable,Cables companies
305,Paramount Comm.,Cables companies
306,Dynamic Cables,Cables companies
307,Ultracab India,Cables companies
308,Aksh Optifibre,Cables companies
309,Geekay Wires,Cables companies
310,V-Marc India,Cables companies
311,Cords Cable,Cables companies
312,Godha Cabcon,Cables companies
313,CMI,Cables companies
314,Delton Cables,Cables companies
315,Diamond Power,Cables companies
316,T N Telecom.,Cables companies
317,B.C. Power,Cables companies
318,Relicab Cable,Cables companies
319,Jigar Cables,Cables companies
320,Cybele Industrie,Cables companies
321,SGN Telecoms,Cables companies
322,Polycab India,Cables companies
323,Sterlite Tech.,Cables companies
324,KEI Industries,Cables companies
325,Finolex Cables,Cables companies
326,Vindhya Telelink,Cables companies
327,Hind.Urban Infra,Cables companies
328,Universal Cables,Cables companies
329,Birla Cable,Cables companies
330,Paramount Comm.,Cables companies
331,Dynamic Cables,Cables companies
332,Ultracab India,Cables companies
333,Aksh Optifibre,Cables companies
334,Geekay Wires,Cables companies
335,V-Marc India,Cables companies
336,Cords Cable,Cables companies
337,Godha Cabcon,Cables companies
338,CMI,Cables companies
339,Delton Cables,Cables companies
340,Diamond Power,Cables companies
341,T N Telecom.,Cables companies
342,B.C. Power,Cables companies
343,Relicab Cable,Cables companies
344,Jigar Cables,Cables companies
345,Cybele Industrie,Cables companies
346,SGN Telecoms,Cables companies
347,Havells India,Capital Goods - Electrical Equipment companies
348,Siemens,Capital Goods - Electrical Equipment companies
349,A B B,Capital Goods - Electrical Equipment companies
350,Crompton Gr. Con,Capital Goods - Electrical Equipment companies
351,B H E L,Capital Goods - Electrical Equipment companies
352,CG Power & Indu.,Capital Goods - Electrical Equipment companies
353,K E C Intl.,Capital Goods - Electrical Equipment companies
354,ABB Power Produc,Capital Goods - Electrical Equipment companies
355,V-Guard Industri,Capital Goods - Electrical Equipment companies
356,Suzlon Energy,Capital Goods - Electrical Equipment companies
357,Triveni Turbine,Capital Goods - Electrical Equipment companies
358,Kalpataru Power,Capital Goods - Electrical Equipment companies
359,Inox Wind,Capital Goods - Electrical Equipment companies
360,GE T&D India,Capital Goods - Electrical Equipment companies
361,Apar Inds.,Capital Goods - Electrical Equipment companies
362,Schneider Elect.,Capital Goods - Electrical Equipment companies
363,Volt.Transform.,Capital Goods - Electrical Equipment companies
364,Honda India,Capital Goods - Electrical Equipment companies
365,TD Power Systems,Capital Goods - Electrical Equipment companies
366,Bharat Bijlee,Capital Goods - Electrical Equipment companies
367,HPL Electric,Capital Goods - Electrical Equipment companies
368,T R I L,Capital Goods - Electrical Equipment companies
369,Swelect Energy,Capital Goods - Electrical Equipment companies
370,Marine Electric.,Capital Goods - Electrical Equipment companies
371,Salzer Electron.,Capital Goods - Electrical Equipment companies
372,High Energy Bat.,Capital Goods - Electrical Equipment companies
373,Modern Insulator,Capital Goods - Electrical Equipment companies
374,Websol Energy,Capital Goods - Electrical Equipment companies
375,Modison Metals,Capital Goods - Electrical Equipment companies
376,Veto Switchgears,Capital Goods - Electrical Equipment companies
377,Indo Tech.Trans.,Capital Goods - Electrical Equipment companies
378,Jyoti Structures,Capital Goods - Electrical Equipment companies
379,Marsons,Capital Goods - Electrical Equipment companies
380,Wonder Fibromats,Capital Goods - Electrical Equipment companies
381,Kirl. Electric,Capital Goods - Electrical Equipment companies
382,Lak. Electrical,Capital Goods - Electrical Equipment companies
383,Indosolar,Capital Goods - Electrical Equipment companies
384,Artemis Electri.,Capital Goods - Electrical Equipment companies
385,Surana Solar,Capital Goods - Electrical Equipment companies
386,Shilchar Tech.,Capital Goods - Electrical Equipment companies
387,Focus Lighting,Capital Goods - Electrical Equipment companies
388,Spectrum Electr.,Capital Goods - Electrical Equipment companies
389,Ujaas Energy,Capital Goods - Electrical Equipment companies
390,Servotech Power,Capital Goods - Electrical Equipment companies
391,RTS Power Corpn.,Capital Goods - Electrical Equipment companies
392,Rexnord Electr.,Capital Goods - Electrical Equipment companies
393,Aartech Solonics,Capital Goods - Electrical Equipment companies
394,Mehai Technology,Capital Goods - Electrical Equipment companies
395,Amba Enterprises,Capital Goods - Electrical Equipment companies
396,Rex Pipes&Cables,Capital Goods - Electrical Equipment companies
397,Goldstar Power,Capital Goods - Electrical Equipment companies
398,Advance Meter.,Capital Goods - Electrical Equipment companies
399,Kaycee Inds.,Capital Goods - Electrical Equipment companies
400,Star Delta Trans,Capital Goods - Electrical Equipment companies
401,Dhanashree Elect,Capital Goods - Electrical Equipment companies
402,JSL Industries,Capital Goods - Electrical Equipment companies
403,Jyoti,Capital Goods - Electrical Equipment companies
404,Jayshree Chem.,Capital Goods - Electrical Equipment companies
405,RMC Switchgears,Capital Goods - Electrical Equipment companies
406,S & S Power Swit,Capital Goods - Electrical Equipment companies
407,Shri Ram Switch.,Capital Goods - Electrical Equipment companies
408,Neueon Towers,Capital Goods - Electrical Equipment companies
409,IMP Powers,Capital Goods - Electrical Equipment companies
410,Switching Tech.,Capital Goods - Electrical Equipment companies
411,Cospower Engine.,Capital Goods - Electrical Equipment companies
412,Bright Solar,Capital Goods - Electrical Equipment companies
413,Evans Electric,Capital Goods - Electrical Equipment companies
414,Easun Reyrolle,Capital Goods - Electrical Equipment companies
415,GTV Engineering,Capital Goods - Electrical Equipment companies
416,Tarapur Trans,Capital Goods - Electrical Equipment companies
417,KLK Electrical,Capital Goods - Electrical Equipment companies
418,Alfa Transformer,Capital Goods - Electrical Equipment companies
419,Cont. Controls,Capital Goods - Electrical Equipment companies
420,Epic Energy,Capital Goods - Electrical Equipment companies
421,Goldstar Power,Capital Goods - Electrical Equipment companies
422,Advance Meter.,Capital Goods - Electrical Equipment companies
423,Kaycee Inds.,Capital Goods - Electrical Equipment companies
424,Star Delta Trans,Capital Goods - Electrical Equipment companies
425,Dhanashree Elect,Capital Goods - Electrical Equipment companies
426,JSL Industries,Capital Goods - Electrical Equipment companies
427,Jyoti,Capital Goods - Electrical Equipment companies
428,Jayshree Chem.,Capital Goods - Electrical Equipment companies
429,RMC Switchgears,Capital Goods - Electrical Equipment companies
430,S & S Power Swit,Capital Goods - Electrical Equipment companies
431,Shri Ram Switch.,Capital Goods - Electrical Equipment companies
432,Neueon Towers,Capital Goods - Electrical Equipment companies
433,IMP Powers,Capital Goods - Electrical Equipment companies
434,Switching Tech.,Capital Goods - Electrical Equipment companies
435,Cospower Engine.,Capital Goods - Electrical Equipment companies
436,Bright Solar,Capital Goods - Electrical Equipment companies
437,Evans Electric,Capital Goods - Electrical Equipment companies
438,Easun Reyrolle,Capital Goods - Electrical Equipment companies
439,GTV Engineering,Capital Goods - Electrical Equipment companies
440,Tarapur Trans,Capital Goods - Electrical Equipment companies
441,KLK Electrical,Capital Goods - Electrical Equipment companies
442,Alfa Transformer,Capital Goods - Electrical Equipment companies
443,Cont. Controls,Capital Goods - Electrical Equipment companies
444,Epic Energy,Capital Goods - Electrical Equipment companies
445,Hind.Aeronautics,Capital Goods-Non Electrical Equipment companies
446,Cummins India,Capital Goods-Non Electrical Equipment companies
447,Thermax,Capital Goods-Non Electrical Equipment companies
448,Grindwell Norton,Capital Goods-Non Electrical Equipment companies
449,Carborundum Uni.,Capital Goods-Non Electrical Equipment companies
450,Elgi Equipments,Capital Goods-Non Electrical Equipment companies
451,HLE Glascoat,Capital Goods-Non Electrical Equipment companies
452,Graphite India,Capital Goods-Non Electrical Equipment companies
453,BEML Ltd,Capital Goods-Non Electrical Equipment companies
454,Bharat Dynamics,Capital Goods-Non Electrical Equipment companies
455,HEG,Capital Goods-Non Electrical Equipment companies
456,GMM Pfaudler,Capital Goods-Non Electrical Equipment companies
457,Praj Industries,Capital Goods-Non Electrical Equipment companies
458,Esab India,Capital Goods-Non Electrical Equipment companies
459,KSB,Capital Goods-Non Electrical Equipment companies
460,ISGEC Heavy,Capital Goods-Non Electrical Equipment companies
461,Ingersoll-Rand,Capital Goods-Non Electrical Equipment companies
462,Greaves Cotton,Capital Goods-Non Electrical Equipment companies
463,Kennametal India,Capital Goods-Non Electrical Equipment companies
464,ION Exchange,Capital Goods-Non Electrical Equipment companies
465,Kirloskar Oil,Capital Goods-Non Electrical Equipment companies
466,Kirl. Brothers,Capital Goods-Non Electrical Equipment companies
467,Kirl.Pneumatic,Capital Goods-Non Electrical Equipment companies
468,Action Const.Eq.,Capital Goods-Non Electrical Equipment companies
469,Elecon Engg.Co,Capital Goods-Non Electrical Equipment companies
470,Va Tech Wabag,Capital Goods-Non Electrical Equipment companies
471,Swaraj Engines,Capital Goods-Non Electrical Equipment companies
472,Balu Forge,Capital Goods-Non Electrical Equipment companies
473,Dynamatic Tech.,Capital Goods-Non Electrical Equipment companies
474,Power Mech Proj.,Capital Goods-Non Electrical Equipment companies
475,Shakti Pumps,Capital Goods-Non Electrical Equipment companies
476,Titagarh Wagons,Capital Goods-Non Electrical Equipment companies
477,Wendt India,Capital Goods-Non Electrical Equipment companies
478,Kabra Extrusion,Capital Goods-Non Electrical Equipment companies
479,Texmaco Rail,Capital Goods-Non Electrical Equipment companies
480,Ador Welding,Capital Goods-Non Electrical Equipment companies
481,Sanghvi Movers,Capital Goods-Non Electrical Equipment companies
482,WPIL,Capital Goods-Non Electrical Equipment companies
483,United Drilling,Capital Goods-Non Electrical Equipment companies
484,Disa India,Capital Goods-Non Electrical Equipment companies
485,Pitti Engg.,Capital Goods-Non Electrical Equipment companies
486,Yuken India,Capital Goods-Non Electrical Equipment companies
487,Jash Engineering,Capital Goods-Non Electrical Equipment companies
488,John Cockerill,Capital Goods-Non Electrical Equipment companies
489,Roto Pumps,Capital Goods-Non Electrical Equipment companies
490,Hercules Hoists,Capital Goods-Non Electrical Equipment companies
491,Intl. Conveyors,Capital Goods-Non Electrical Equipment companies
492,Artson Engg.,Capital Goods-Non Electrical Equipment companies
493,Commercial Eng.,Capital Goods-Non Electrical Equipment companies
494,Sika Interplant,Capital Goods-Non Electrical Equipment companies
495,Orient Abrasives,Capital Goods-Non Electrical Equipment companies
496,DE Nora India,Capital Goods-Non Electrical Equipment companies
497,Guj Apollo Inds,Capital Goods-Non Electrical Equipment companies
498,Mazda,Capital Goods-Non Electrical Equipment companies
499,Ador Fontech,Capital Goods-Non Electrical Equipment companies
500,Veljan Denison,Capital Goods-Non Electrical Equipment companies
501,Taneja Aerospace,Capital Goods-Non Electrical Equipment companies
502,Panasonic Carbon,Capital Goods-Non Electrical Equipment companies
503,Revathi Equipmnt,Capital Goods-Non Electrical Equipment companies
504,Eimco Elecon(I),Capital Goods-Non Electrical Equipment companies
505,GEE,Capital Goods-Non Electrical Equipment companies
506,Windsor Machines,Capital Goods-Non Electrical Equipment companies
507,Walchan. Inds.,Capital Goods-Non Electrical Equipment companies
508,Birla Precision,Capital Goods-Non Electrical Equipment companies
509,TRF,Capital Goods-Non Electrical Equipment companies
510,TIL,Capital Goods-Non Electrical Equipment companies
511,Batliboi,Capital Goods-Non Electrical Equipment companies
512,Aaron Industries,Capital Goods-Non Electrical Equipment companies
513,Kilburn Engg.,Capital Goods-Non Electrical Equipment companies
514,A2Z Infra Engg.,Capital Goods-Non Electrical Equipment companies
515,Patels Airtemp,Capital Goods-Non Electrical Equipment companies
516,Lokesh Mach.,Capital Goods-Non Electrical Equipment companies
517,Meera Industries,Capital Goods-Non Electrical Equipment companies
518,G G Engineering,Capital Goods-Non Electrical Equipment companies
519,Josts Engg. Co.,Capital Goods-Non Electrical Equipment companies
520,Intl. Combustion,Capital Goods-Non Electrical Equipment companies
521,Fluidomat,Capital Goods-Non Electrical Equipment companies
522,Cenlub Industrie,Capital Goods-Non Electrical Equipment companies
523,Manugraph India,Capital Goods-Non Electrical Equipment companies
524,KPT Industries,Capital Goods-Non Electrical Equipment companies
525,ITL Industries,Capital Goods-Non Electrical Equipment companies
526,Bemco Hydraulics,Capital Goods-Non Electrical Equipment companies
527,Polymechplast Ma,Capital Goods-Non Electrical Equipment companies
528,Nitin Fire Prot.,Capital Goods-Non Electrical Equipment companies
529,G G Dandekar,Capital Goods-Non Electrical Equipment companies
530,Brady & Morris,Capital Goods-Non Electrical Equipment companies
531,Rapicut Carbides,Capital Goods-Non Electrical Equipment companies
532,Welcast Steels,Capital Goods-Non Electrical Equipment companies
533,Rasi Electrodes,Capital Goods-Non Electrical Equipment companies
534,Redex Protech,Capital Goods-Non Electrical Equipment companies
535,Premier,Capital Goods-Non Electrical Equipment companies
536,Hawa Engineers,Capital Goods-Non Electrical Equipment companies
537,Incon Engineers,Capital Goods-Non Electrical Equipment companies
538,Felix Industries,Capital Goods-Non Electrical Equipment companies
539,D & H India,Capital Goods-Non Electrical Equipment companies
540,Solitaire Mach.,Capital Goods-Non Electrical Equipment companies
541,Envair Electrody,Capital Goods-Non Electrical Equipment companies
542,Rishi Laser,Capital Goods-Non Electrical Equipment companies
543,G G Automotive,Capital Goods-Non Electrical Equipment companies
544,Filtra Consult.,Capital Goods-Non Electrical Equipment companies
545,R J Shah & Co,Capital Goods-Non Electrical Equipment companies
546,Adarsh Plant,Capital Goods-Non Electrical Equipment companies
547,Cranex,Capital Goods-Non Electrical Equipment companies
548,Lippi Systems,Capital Goods-Non Electrical Equipment companies
549,Shivagrico Impl.,Capital Goods-Non Electrical Equipment companies
550,Iykot Hitech,Capital Goods-Non Electrical Equipment companies
551,Galaxy Agrico,Capital Goods-Non Electrical Equipment companies
552,Hittco Tools,Capital Goods-Non Electrical Equipment companies
553,Ranjeet Mechatr.,Capital Goods-Non Electrical Equipment companies
554,Mahavir Indust.,Capital Goods-Non Electrical Equipment companies
555,Servoteach Inds.,Capital Goods-Non Electrical Equipment companies
556,EMA India,Capital Goods-Non Electrical Equipment companies
557,Miven Mach. Tool,Capital Goods-Non Electrical Equipment companies
558,Guj. Toolroom,Capital Goods-Non Electrical Equipment companies
559,MPF Systems,Capital Goods-Non Electrical Equipment companies
560,R J Shah & Co,Capital Goods-Non Electrical Equipment companies
561,Adarsh Plant,Capital Goods-Non Electrical Equipment companies
562,Cranex,Capital Goods-Non Electrical Equipment companies
563,Lippi Systems,Capital Goods-Non Electrical Equipment companies
564,Shivagrico Impl.,Capital Goods-Non Electrical Equipment companies
565,Iykot Hitech,Capital Goods-Non Electrical Equipment companies
566,Galaxy Agrico,Capital Goods-Non Electrical Equipment companies
567,Hittco Tools,Capital Goods-Non Electrical Equipment companies
568,Ranjeet Mechatr.,Capital Goods-Non Electrical Equipment companies
569,Mahavir Indust.,Capital Goods-Non Electrical Equipment companies
570,Servoteach Inds.,Capital Goods-Non Electrical Equipment companies
571,EMA India,Capital Goods-Non Electrical Equipment companies
572,Miven Mach. Tool,Capital Goods-Non Electrical Equipment companies
573,Guj. Toolroom,Capital Goods-Non Electrical Equipment companies
574,MPF Systems,Capital Goods-Non Electrical Equipment companies
575,Sona BLW Precis.,"Castings, Forgings & Fastners companies"
576,Bharat Forge,"Castings, Forgings & Fastners companies"
577,Sundram Fasten.,"Castings, Forgings & Fastners companies"
578,AIA Engineering,"Castings, Forgings & Fastners companies"
579,Mahindra CIE,"Castings, Forgings & Fastners companies"
580,Ramkrishna Forg.,"Castings, Forgings & Fastners companies"
581,Jayaswal Neco,"Castings, Forgings & Fastners companies"
582,M M Forgings,"Castings, Forgings & Fastners companies"
